Company,E_score,S_score,G_score,ESG_score,Grade,Company_Short,Controversy_Level,Penalty,ESGC_score,ESGC_Grade
Nofar,47.14912280701755,51.05263157894737,89.47368421052632,61.01754385964912,B-,Nofar,None,0.0,61.01754385964912,B-
LGES,50.877192982456144,54.44862155388471,39.47368421052632,48.52756892230576,C,LGES,None,0.0,48.52756892230576,C
Hitachi,46.491228070175424,45.67669172932331,89.47368421052632,59.14160401002506,C+,Hitachi,None,0.0,59.14160401002506,C+
NFE,50.87719298245615,50.526315789473685,39.47368421052632,47.35087719298247,C,NFE,None,0.0,47.35087719298247,C
Gibson,37.5,52.28696741854636,100.0,60.68609022556391,B-,,,0.0,60.68609022556391,B-
Constellation,56.57894736842105,50.526315789473685,39.47368421052632,49.631578947368425,C,Constellation,None,0.0,49.631578947368425,C
ENN,32.23684210526316,38.22055137844612,89.47368421052632,51.203007518796994,C+,ENN,None,0.0,51.203007518796994,C+
VITOL,57.236842105263165,42.10526315789473,39.47368421052632,47.368421052631575,C,VITOL,None,0.0,47.368421052631575,C
NRG,60.745614035087726,55.79573934837092,39.47368421052632,52.87907268170426,C+,NRG,None,0.0,52.87907268170426,C+
Capitalenergy,57.236842105263165,55.79573934837092,39.47368421052632,51.47556390977444,C+,Capitalenergy,None,0.0,51.47556390977444,C+
hbr,33.771929824561404,52.75689223057643,78.94736842105263,53.02005012531328,C+,hbr,None,0.0,53.02005012531328,C+
Cheniere,42.54385964912281,46.58521303258145,39.47368421052632,42.83521303258145,C,Cheniere,None,0.0,42.83521303258145,C
Gren,57.89473684210525,62.631578947368425,39.47368421052632,53.78947368421052,C+,Gren,Minor,0.05,51.099999999999994,C+
Chord,60.745614035087726,56.23433583959899,39.47368421052632,53.01065162907268,C+,Chord,None,0.0,53.01065162907268,C+
Varo,35.96491228070175,45.67669172932331,39.47368421052632,39.93107769423558,C-,Varo,None,0.0,39.93107769423558,C-
adani,41.00877192982457,46.49122807017543,39.47368421052632,42.19298245614036,C,adani,None,0.0,42.19298245614036,C
Peabody,41.00877192982457,62.59398496240601,39.47368421052632,47.02380952380952,C,Peabody,None,0.0,47.02380952380952,C
Totalenergies,32.675438596491226,53.60275689223059,39.47368421052632,40.99310776942356,C,Totalenergies,Minor,0.05,38.94345238095238,C-
Cenovus,57.45614035087719,44.79949874686717,39.47368421052632,48.264411027568926,C,Cenovus,None,0.0,48.264411027568926,C
