report,net_action_score,greenwashing
NFE_2022,0.35319767441860467,no
LGES_2023,0.4960516870064609,no
VITOL_2023,0.3901869158878505,no
Nofar_2023,0.31994645247657294,no
ENN_2023,0.5,no
Gibson-2022,0.39007092198581567,no
Gren_2023,0.25396825396825395,yes
Chord_2023,0.36518046709129515,no
Totalenergies_2024,0.2932187201528176,yes
Constellation_2024,0.4024390243902439,no
Hitachi_2024,0.3360049321824908,no
Cenovus_2023,0.4451783355350066,no
Peabody_2024,0.3259557344064386,no
adani_2022-23,0.3767038413878563,no
Varo_2023,0.32251908396946566,no
hbr_2022,0.3424124513618677,no
NRG_2023,0.4585741811175337,no
Cheniere_2023,0.4295238095238095,no
Capitalenergy_2021,0.3670150987224158,no
